State,Avg Sc 2021,Avg Sc 2022,Avg Sc 2023,Avg Sc 2024,Avg Sc 2025
Alabama,18.7,18,18,18,18
Alaska,20.6,20.4,20.4,19.9,19.7
Arizona,19.8,18.4,18.4,17.7,17.4
Arkansas,19,18.8,18.8,18.5,18.5
California,26.1,26.5,26.5,26.5,26.6
Colorado,23.6,23.2,23.2,24.7,24.7
Connecticut,27.2,26.3,26.3,26.5,27.1
Delaware,25.7,24.9,24.9,24.8,24.8
District of Columbia,25.6,26.9,26.9,26.7,26.4
Florida,20.4,19,19,18.8,18.8
Georgia,22.6,21.6,21.6,21.5,21.4
Hawaii,18.2,18.8,18.8,18.2,18.1
Illinois,25.2,22.8,22.8,23.3,23.3
Indiana,23.1,24.5,24.5,24.5,24.5
Iowa,21.5,22.8,22.8,23.3,23.5
Kansas,19.9,21.4,21.4,21.2,21
Kentucky,19.2,19.9,19.9,19.4,19.2
Louisiana,18.4,18.6,18.6,18.6,18.4
Maine,25.6,18.1,18.1,18.2,18.3
Maryland,25.5,25.1,25.1,25.4,25.4
Massachusetts,27.6,24.4,24.4,24.6,24.9
Michigan,25.1,26.5,26.5,26.9,26.4
Minnesota,21.6,24.6,24.6,24.4,24.6
Mississippi,18.1,21,21,20.8,20.6
Missouri,20.6,17.8,17.8,17.7,17.7
Montana,20.4,20.2,20.2,19.7,19.8
National,20.3,19.3,19.3,19.1,19.1
Nebraska,20,19.4,19.8,19.1,19.2
Nevada,17.8,17.3,19.4,17.2,17.1
New Hampshire,26.6,25.7,17.3,25.8,25.8
New Jersey,25.1,24.6,25.7,24.1,24.6
New Mexico,20.7,19.8,24.6,20,20.6
New York,26.3,25.3,19.8,25.4,25.9
North Carolina,18.9,18.5,25.3,18.4,18.3
North Dakota,19.6,19.2,18.5,19.1,19.1
Ohio,19.6,19.4,19.2,19.1,19
Oklahoma,19.7,17.9,19.4,17.6,17.5
Oregon,20.6,23,17.9,21.1,20.6
Pennsylvania,25,24.4,23,24.2,24
Rhode Island,25.8,25.2,24.4,25.4,25.3
South Carolina,18.6,18.9,25.2,18.7,18.8
South Dakota,21.6,21.5,18.9,21.2,21
Tennessee,19.1,18.6,21.5,18.4,18.4
Texas,20.1,19.8,18.6,19.7,19.6
Utah,20.6,19.9,19.8,19.6,19.4
Vermont,24.7,23.7,19.9,23.6,23.5
Virginia,25.5,24.6,23.7,24.8,24.8
Washington,23.6,24.6,24.6,24.4,24.4
West Virginia,20.8,20.5,20.5,20.3,20.4
Wisconsin,20,19.4,19.4,19.1,19.1
Wyoming,19.8,19.2,19.2,19.1,19